Id,SalePrice
1461,126841.11
1462,159357.25
1463,189648.61
1464,194693.9
1465,186355.45
1466,171898.23
1467,174124.0
1468,165208.6
1469,182214.16
1470,127683.51
1471,200083.4
1472,91077.33
1473,94938.64
1474,152515.19
1475,119044.89
1476,374253.0
1477,256531.95
1478,278953.2
1479,272907.34
1480,481607.47
1481,339432.75
1482,206218.28
1483,171684.6
1484,160967.73
1485,173886.38
1486,198594.7
1487,341278.03
1488,237820.05
1489,206716.25
1490,221694.66
1491,192430.6
1492,92667.6
1493,181542.02
1494,289150.4
1495,294719.84
1496,233208.66
1497,186557.83
1498,164359.05
1499,156176.95
1500,149819.69
1501,177311.56
1502,145115.53
1503,312917.6
1504,244077.25
1505,224266.44
1506,199956.73
1507,248732.28
1508,203705.58
1509,166744.11
1510,147758.53
1511,144948.42
1512,181280.44
1513,138961.27
1514,143525.44
1515,192739.17
1516,151156.38
1517,158159.05
1518,139392.89
1519,228112.23
1520,135346.67
1521,134809.11
1522,170593.7
1523,113253.336
1524,123714.75
1525,120162.68
1526,120532.6
1527,104397.555
1528,128700.91
1529,148033.28
1530,167061.98
1531,113007.03
1532,101177.766
1533,143155.67
1534,119591.42
1535,149750.39
1536,110794.21
1537,63648.406
1538,159442.67
1539,183594.06
1540,98693.94
1541,144834.58
1542,143110.47
1543,219651.4
1544,79866.04
1545,114000.72
1546,128464.72
1547,130910.54
1548,129902.57
1549,110152.61
1550,138468.34
1551,113508.414
1552,130560.81
1553,141409.34
1554,111732.43
1555,170953.95
1556,85826.95
1557,107288.6
1558,90771.75
1559,83241.88
1560,130592.32
1561,143294.44
1562,127397.43
1563,119492.12
1564,159602.42
1565,139923.39
1566,247298.92
1567,77885.11
1568,217694.45
1569,144973.6
1570,137797.7
1571,117268.125
1572,149560.14
1573,241493.3
1574,105252.39
1575,215403.78
1576,241822.39
1577,193350.02
1578,139468.95
1579,144204.84
1580,200692.83
1581,151803.0
1582,130191.29
1583,334523.28
1584,225392.1
1585,141946.81
1586,70942.25
1587,98155.05
1588,145477.17
1589,100460.69
1590,132815.3
1591,96040.52
1592,114089.9
1593,124390.74
1594,129474.75
1595,110814.516
1596,242993.56
1597,177928.69
1598,197688.05
1599,176460.36
1600,171395.2
1601,64816.973
1602,117225.086
1603,78798.23
1604,262549.84
1605,243599.83
1606,166501.8
1607,166386.88
1608,212574.72
1609,189190.89
1610,156634.44
1611,140186.9
1612,170849.97
1613,166320.88
1614,128220.305
1615,86112.84
1616,75039.44
1617,89126.41
1618,124686.25
1619,136121.27
1620,166721.2
1621,132513.69
1622,141986.48
1623,260205.45
1624,211586.7
1625,122241.48
1626,165425.05
1627,192473.2
1628,276698.7
1629,178545.88
1630,332179.7
1631,221696.97
1632,240092.06
1633,168249.95
1634,189031.64
1635,176354.7
1636,152102.81
1637,187693.52
1638,191304.2
1639,183359.95
1640,261784.52
1641,174557.3
1642,228721.52
1643,224787.61
1644,237066.0
1645,198866.66
1646,158241.12
1647,157233.08
1648,136224.12
1649,143263.02
1650,117618.14
1651,120507.55
1652,96702.805
1653,100456.0
1654,149455.48
1655,153477.9
1656,145745.17
1657,149652.31
1658,149147.1
1659,128156.85
1660,156373.55
1661,447182.56
1662,397066.1
1663,392630.3
1664,414991.4
1665,301102.12
1666,314193.84
1667,381836.53
1668,331160.56
1669,297655.22
1670,345536.47
1671,255812.72
1672,436891.03
1673,295077.56
1674,246386.72
1675,183349.8
1676,193166.8
1677,216929.1
1678,430455.8
1679,381587.9
1680,363769.1
1681,245307.03
1682,302416.12
1683,174671.19
1684,175963.95
1685,172223.62
1686,167547.03
1687,162414.44
1688,193607.42
1689,193605.75
1690,192148.2
1691,174864.38
1692,267177.97
1693,163540.67
1694,181037.19
1695,166381.16
1696,269324.84
1697,173111.52
1698,370567.94
1699,320059.72
1700,239548.89
1701,266492.16
1702,255471.62
1703,264042.38
1704,290201.56
1705,227664.53
1706,411278.03
1707,213488.14
1708,204740.55
1709,273663.16
1710,225611.22
1711,266093.47
1712,259792.62
1713,273920.38
1714,227774.86
1715,205285.05
1716,182368.53
1717,172597.36
1718,130984.47
1719,200630.64
1720,250660.38
1721,166733.48
1722,120583.305
1723,154708.64
1724,215549.28
1725,236130.97
1726,189618.25
1727,158086.36
1728,185516.72
1729,165490.69
1730,154664.83
1731,120220.58
1732,129393.29
1733,118752.45
1734,122693.24
1735,135787.28
1736,118482.31
1737,310726.22
1738,223446.64
1739,284974.5
1740,221950.22
1741,195683.47
1742,170174.95
1743,174996.33
1744,292456.72
1745,211951.03
1746,195289.72
1747,220343.75
1748,216137.16
1749,157235.34
1750,135988.67
1751,228180.77
1752,124314.85
1753,147996.72
1754,205008.02
1755,170761.69
1756,126576.71
1757,120660.72
1758,149190.34
1759,164462.36
1760,170461.66
1761,137023.88
1762,175607.53
1763,169416.95
1764,119898.96
1765,170331.31
1766,175242.5
1767,208918.11
1768,143984.3
1769,172907.75
1770,146757.62
1771,128076.21
1772,136055.86
1773,128185.21
1774,151215.2
1775,137198.7
1776,124457.664
1777,113305.63
1778,139533.2
1779,114495.805
1780,177186.14
1781,132185.52
1782,86620.87
1783,142799.1
1784,99634.33
1785,118539.95
1786,133565.62
1787,159328.69
1788,60391.64
1789,97684.87
1790,81445.766
1791,202259.75
1792,155853.66
1793,134982.64
1794,142599.88
1795,127371.92
1796,117458.74
1797,117321.49
1798,124852.234
1799,108287.15
1800,123852.63
1801,130897.055
1802,133634.4
1803,148030.17
1804,142849.62
1805,139437.3
1806,117503.21
1807,131122.2
1808,112925.37
1809,124551.47
1810,140687.8
1811,99720.734
1812,99597.76
1813,122403.28
1814,95344.23
1815,57076.266
1816,94796.97
1817,112043.69
1818,138090.27
1819,119621.64
1820,66498.0
1821,111336.414
1822,143938.98
1823,52759.543
1824,134340.28
1825,128949.06
1826,102242.12
1827,109034.5
1828,138362.48
1829,117660.78
1830,145770.77
1831,154070.2
1832,96096.33
1833,144021.25
1834,117400.516
1835,132760.6
1836,126779.195
1837,95855.33
1838,123818.25
1839,91722.95
1840,159334.45
1841,138703.86
1842,91225.45
1843,136419.14
1844,131193.88
1845,139335.48
1846,151975.23
1847,164552.58
1848,58115.36
1849,105190.27
1850,123092.18
1851,152997.39
1852,128493.15
1853,139714.44
1854,176279.05
1855,145591.53
1856,217008.56
1857,145172.97
1858,135747.27
1859,118911.09
1860,148568.45
1861,118572.29
1862,312473.25
1863,310495.47
1864,310495.47
1865,319581.16
1866,328170.7
1867,240427.5
1868,303366.2
1869,207745.11
1870,234932.83
1871,241703.22
1872,173181.53
1873,228739.4
1874,151432.83
1875,213050.44
1876,193854.45
1877,211320.7
1878,204540.69
1879,131379.19
1880,138828.0
1881,241685.0
1882,249574.6
1883,193539.48
1884,205924.84
1885,247890.64
1886,299491.5
1887,200715.61
1888,275178.2
1889,157478.14
1890,126419.39
1891,138727.67
1892,104416.78
1893,130570.78
1894,129632.414
1895,137278.66
1896,122425.23
1897,118317.0
1898,102381.45
1899,150004.25
1900,139150.1
1901,170370.47
1902,135424.66
1903,211480.19
1904,134590.6
1905,196430.61
1906,175300.48
1907,196524.11
1908,106810.0
1909,135928.52
1910,120774.24
1911,213660.66
1912,286221.66
1913,138659.3
1914,60173.004
1915,303138.3
1916,62833.79
1917,265068.72
1918,138419.77
1919,167123.0
1920,156979.42
1921,407707.53
1922,315733.53
1923,200749.5
1924,229689.88
1925,199751.08
1926,393391.16
1927,131782.1
1928,152622.42
1929,121036.664
1930,129184.17
1931,144171.72
1932,137946.12
1933,181298.08
1934,185679.58
1935,172147.27
1936,188421.84
1937,181439.56
1938,171168.48
1939,248455.6
1940,184768.1
1941,176409.22
1942,185932.97
1943,202936.77
1944,351238.7
1945,383921.12
1946,140686.06
1947,305698.88
1948,180430.3
1949,246530.8
1950,184785.9
1951,246050.45
1952,218575.88
1953,165189.2
1954,182260.03
1955,132916.55
1956,279931.5
1957,153326.05
1958,307872.4
1959,144500.69
1960,113765.69
1961,117830.78
1962,97771.73
1963,98811.94
1964,109624.53
1965,149497.39
1966,141980.94
1967,281878.53
1968,406927.12
1969,400978.0
1970,439668.9
1971,440428.53
1972,388976.38
1973,263596.5
1974,320305.22
1975,420027.03
1976,272616.03
1977,370627.66
1978,385682.6
1979,352379.75
1980,194766.17
1981,342956.34
1982,229310.36
1983,206744.44
1984,166643.17
1985,223324.98
1986,217215.0
1987,167831.53
1988,173813.75
1989,193641.58
1990,212041.61
1991,229289.14
1992,216141.3
1993,167868.66
1994,233373.28
1995,189618.25
1996,252302.5
1997,310058.72
1998,337269.53
1999,255883.97
2000,326860.44
2001,259461.1
2002,241540.08
2003,265129.38
2004,268687.34
2005,223266.44
2006,232362.16
2007,250439.83
2008,214961.34
2009,189360.9
2010,197894.98
2011,130549.86
2012,173503.56
2013,181618.73
2014,187269.06
2015,204582.08
2016,195135.02
2017,202296.0
2018,126672.0
2019,134354.62
2020,110059.875
2021,112426.125
2022,177035.16
2023,135032.47
2024,235680.31
2025,348711.47
2026,173692.3
2027,152494.53
2028,146002.56
2029,163389.3
2030,272753.06
2031,241194.56
2032,263457.8
2033,266070.38
2034,160820.6
2035,218049.55
2036,190692.55
2037,194631.34
2038,272470.2
2039,210925.06
2040,318677.88
